iter	Passed	Remaining
473	686	761
474	687	759
475	688	757
476	689	756
477	690	754
478	691	752
479	692	750
480	693	748
481	695	746
482	696	745
483	697	743
484	698	741
485	699	739
486	700	738
487	701	736
488	702	734
489	703	732
490	704	730
491	705	728
492	706	726
493	708	725
494	709	723
495	710	722
496	711	720
497	712	718
498	713	716
499	715	715
500	716	713
501	717	711
502	718	709
503	719	707
504	720	706
505	721	704
506	722	702
507	723	700
508	725	699
509	726	698
510	727	696
511	728	694
512	729	692
513	730	691
514	732	689
515	733	687
516	734	685
517	735	684
518	736	682
519	737	681
520	739	679
521	740	678
522	741	676
523	742	674
524	743	673
525	744	671
526	745	669
527	747	667
528	748	666
529	749	664
530	750	662
531	751	661
532	752	659
533	754	658
534	755	656
535	756	654
536	757	653
537	758	651
538	759	649
539	760	648
540	761	646
541	763	644
542	764	643
543	765	641
544	767	640
545	768	639
546	769	637
547	770	635
548	771	634
549	772	632
550	774	630
551	775	628
552	776	627
553	777	625
554	778	623
555	779	622
556	780	620
557	781	619
558	782	617
559	784	616
560	785	614
561	786	612
562	787	611
563	788	609
564	789	607
565	790	606
566	791	604
567	792	602
568	793	601
569	795	599
570	796	598
571	797	597
572	799	595
573	800	593
574	801	592
575	802	590
576	803	589
577	804	587
578	805	585
579	806	584
580	807	582
581	809	581
582	810	579
583	811	578
584	812	576
585	813	575
586	814	573
587	816	571
588	817	570
589	818	568
590	819	567
591	820	565
592	821	563
593	822	562
594	823	560
595	825	559
596	826	557
597	827	556
598	828	554
599	829	553
600	830	551
601	831	549
602	832	548
603	833	546
604	834	545
605	835	543
606	837	541
607	838	540
608	839	538
609	840	537
610	841	535
611	843	534
612	844	532
613	845	531
614	846	530
615	847	528
616	849	527
617	850	525
618	852	524
619	853	523
620	854	521
621	856	520
622	857	518
623	858	517
624	859	515
625	860	514
626	861	512
627	863	511
628	864	509
629	865	508
630	866	506
631	867	505
632	868	503
633	869	502
634	870	500
635	871	499
636	873	497
637	874	495
638	875	494
639	876	492
640	877	491
641	878	489
642	879	488
643	880	486
644	882	485
645	883	483
646	884	482
647	885	480
648	886	479
649	887	477
650	888	476
651	889	474
652	890	473
653	891	471
654	892	470
655	893	468
656	895	467
657	896	465
658	897	464
659	898	462
660	899	461
661	901	460
662	902	458
663	903	457
664	904	455
665	905	454
666	907	452
667	908	451
668	909	449
669	910	448
670	911	446
671	912	445
672	913	443
673	914	442
674	915	441
675	917	439
676	918	438
677	919	436
678	920	435
679	921	433
680	922	432
681	923	430
682	924	429
683	925	427
684	927	426
685	928	425
686	929	423
687	930	422
688	931	420
689	932	419
690	934	417
691	935	416
692	936	414
693	937	413
694	938	411
695	939	410
696	940	408
697	942	407
698	943	406
699	944	404
700	945	403
701	946	401
702	947	400
703	948	398
704	950	397
705	951	396
706	952	394
707	953	393
708	954	391
709	956	390
710	957	389
711	958	387
712	959	386
713	960	384
714	962	383
715	963	382
716	964	380
717	965	379
718	966	377
719	967	376
720	969	374
721	970	373
722	971	372
723	972	370
724	973	369
725	974	367
726	976	366
727	977	365
728	978	363
729	979	362
730	980	360
731	981	359
732	982	358
733	984	356
734	985	355
735	986	353
736	988	352
737	989	351
738	990	349
739	991	348
740	992	346
741	993	345
742	994	344
743	996	342
744	997	341
745	998	340
746	1000	338
747	1001	337
748	1002	336
749	1004	334
750	1005	333
751	1006	331
752	1007	330
753	1008	329
754	1009	327
755	1010	326
756	1011	324
757	1012	323
758	1014	322
759	1015	320
760	1016	319
761	1017	317
762	1018	316
763	1019	315
764	1021	313
765	1021	312
766	1023	310
767	1024	309
768	1025	307
769	1026	306
770	1027	305
