iter	Passed	Remaining
463	780	901
464	782	899
465	783	897
466	785	896
467	786	894
468	788	892
469	789	890
470	791	888
471	792	886
472	794	884
473	796	883
474	797	881
475	798	879
476	800	877
477	801	875
478	803	873
479	804	871
480	805	869
481	807	867
482	808	865
483	810	863
484	811	862
485	813	860
486	814	858
487	816	856
488	817	854
489	819	852
490	820	850
491	821	848
492	823	846
493	824	844
494	826	843
495	828	841
496	829	839
497	831	838
498	832	836
499	833	833
500	835	832
501	836	830
502	838	828
503	839	826
504	841	824
505	842	822
506	844	820
507	845	818
508	847	817
509	848	815
510	849	813
511	851	811
512	852	809
513	854	807
514	855	805
515	857	804
516	858	802
517	860	800
518	862	798
519	863	797
520	864	795
521	866	793
522	867	791
523	869	789
524	870	787
525	872	786
526	873	784
527	874	782
528	876	780
529	877	778
530	879	776
531	881	775
532	882	773
533	884	771
534	885	769
535	887	768
536	888	766
537	890	764
538	891	762
539	893	761
540	894	759
541	896	757
542	898	756
543	900	754
544	901	752
545	903	751
546	904	749
547	906	747
548	907	745
549	909	743
550	910	742
551	912	740
552	914	739
553	915	737
554	917	735
555	918	733
556	920	731
557	921	730
558	924	728
559	925	727
560	928	726
561	929	724
562	931	722
563	932	720
564	933	718
565	935	717
566	936	715
567	938	713
568	939	711
569	941	709
570	942	708
571	944	706
572	946	705
573	947	703
574	948	701
575	950	699
576	951	697
577	953	695
578	954	694
579	956	692
580	958	691
581	959	689
582	961	687
583	963	686
584	965	684
585	966	682
586	968	681
587	969	679
588	971	677
589	973	676
590	974	674
591	976	672
592	977	670
593	979	669
594	980	667
595	981	665
596	983	663
597	984	662
598	986	660
599	988	659
600	990	657
601	991	655
602	993	653
603	994	651
604	995	650
605	997	648
606	999	646
607	1000	645
608	1002	643
609	1004	641
610	1005	640
611	1006	638
612	1008	636
613	1009	634
614	1011	633
615	1012	631
616	1014	629
617	1015	627
618	1017	626
619	1018	624
620	1020	622
621	1021	620
622	1023	619
623	1024	617
624	1025	615
625	1027	613
626	1028	612
627	1030	610
628	1032	609
629	1034	607
630	1035	605
631	1037	603
632	1038	602
633	1040	600
634	1041	598
635	1043	597
636	1045	595
637	1047	594
638	1049	592
639	1050	591
640	1052	589
641	1053	587
642	1056	586
643	1057	584
644	1059	583
645	1061	581
646	1063	580
647	1064	578
648	1066	576
649	1067	574
650	1068	572
651	1070	571
652	1072	570
653	1073	568
654	1075	566
655	1077	565
656	1079	563
657	1081	561
658	1082	560
659	1084	558
660	1085	556
661	1087	555
662	1088	553
663	1090	551
664	1092	550
665	1093	548
666	1095	546
667	1096	545
668	1098	543
669	1099	541
670	1101	539
671	1102	538
672	1104	536
673	1105	534
674	1107	533
675	1108	531
676	1110	529
677	1111	527
678	1113	526
679	1114	524
680	1116	522
681	1117	521
682	1119	519
683	1120	517
684	1122	516
685	1123	514
686	1125	512
687	1126	510
688	1128	509
689	1129	507
690	1130	505
691	1132	503
692	1134	502
693	1135	500
694	1137	499
695	1138	497
696	1140	495
697	1141	494
698	1143	492
699	1145	490
700	1146	489
701	1148	487
702	1150	485
703	1151	484
704	1154	482
705	1155	481
706	1157	479
707	1159	478
708	1160	476
709	1162	474
710	1164	473
711	1166	471
712	1167	470
713	1169	468
714	1170	466
715	1172	465
716	1173	463
717	1175	461
718	1177	460
719	1178	458
720	1180	456
721	1181	455
722	1183	453
723	1184	451
724	1186	449
725	1187	448
726	1189	446
727	1190	444
728	1192	443
729	1194	441
730	1195	439
731	1196	438
732	1198	436
733	1199	434
734	1201	433
735	1203	431
736	1204	429
737	1206	428
738	1208	426
739	1209	425
740	1211	423
741	1212	421
742	1214	419
743	1215	418
744	1216	416
745	1218	414
746	1219	413
747	1220	411
748	1223	409
749	1224	408
750	1225	406
751	1227	404
752	1228	403
753	1229	401
754	1231	399
755	1232	397
756	1234	396
757	1235	394
758	1237	393
759	1239	391
760	1240	389
761	1242	387
762	1243	386
763	1244	384
764	1246	382
765	1248	381
766	1249	379
767	1251	377
768	1253	376
769	1254	374
770	1256	373
771	1258	371
772	1260	370
773	1262	368
774	1264	366
775	1265	365
776	1267	363
777	1268	362
778	1270	360
779	1271	358
780	1273	357
781	1274	355
782	1276	353
783	1277	352
784	1279	350
785	1280	348
786	1282	347
787	1284	345
788	1285	343
789	1287	342
790	1288	340
791	1289	338
792	1291	337
793	1292	335
794	1294	333
795	1296	332
796	1298	330
797	1299	329
798	1301	327
799	1302	325
800	1304	324
801	1306	322
802	1308	320
803	1309	319
804	1311	317
805	1313	316
806	1314	314
807	1316	312
808	1317	311
809	1319	309
810	1320	307
811	1321	306
812	1323	304
813	1324	302
814	1326	301
815	1327	299
816	1329	297
817	1330	296
818	1332	294
819	1333	292
820	1334	291
821	1336	289
822	1337	287
823	1339	286
824	1340	284
825	1342	282
826	1343	281
827	1345	279
828	1346	277
829	1348	276
830	1349	274
831	1351	272
832	1352	271
833	1354	269
834	1356	267
835	1357	266
836	1358	264
837	1360	262
838	1361	261
839	1362	259
840	1364	257
841	1365	256
842	1367	254
843	1368	252
844	1370	251
845	1371	249
846	1373	248
847	1374	246
848	1376	244
849	1377	243
850	1379	241
851	1381	239
852	1382	238
853	1384	236
854	1386	235
855	1387	233
856	1389	231
857	1390	230
858	1392	228
859	1394	227
860	1397	225
861	1399	224
862	1400	222
863	1402	220
864	1404	219
865	1406	217
866	1407	215
867	1409	214
868	1411	212
869	1412	211
870	1414	209
871	1416	207
872	1418	206
873	1419	204
874	1420	202
875	1422	201
876	1423	199
877	1425	198
878	1426	196
879	1428	194
880	1430	193
881	1431	191
882	1433	189
883	1434	188
884	1436	186
885	1437	184
886	1438	183
887	1440	181
888	1441	180
889	1443	178
890	1444	176
891	1446	175
892	1447	173
893	1449	171
894	1450	170
895	1451	168
896	1453	166
897	1454	165
898	1456	163
899	1458	162
900	1459	160
901	1461	158
902	1462	157
903	1464	155
904	1465	153
905	1466	152
906	1468	150
907	1469	148
908	1471	147
909	1472	145
910	1474	144
911	1475	142
912	1477	140
913	1479	139
914	1480	137
915	1482	135
916	1483	134
917	1484	132
918	1486	131
919	1487	129
920	1489	127
921	1491	126
922	1492	124
923	1494	122
924	1495	121
925	1496	119
926	1498	118
927	1500	116
928	1501	114
929	1503	113
930	1504	111
931	1506	109
932	1507	108
933	1509	106
934	1510	105
935	1512	103
936	1513	101
937	1515	100
938	1517	98
939	1518	96
940	1520	95
941	1522	93
942	1523	92
943	1524	90
944	1526	88
945	1527	87
946	1529	85
947	1530	83
948	1532	82
949	1534	80
950	1535	79
951	1537	77
952	1538	75
953	1539	74
954	1541	72
955	1542	71
956	1544	69
957	1546	67
958	1547	66
959	1549	64
960	1551	62
961	1552	61
962	1554	59
963	1555	58
964	1557	56
965	1558	54
966	1559	53
967	1561	51
968	1562	50
969	1564	48
970	1565	46
971	1567	45
972	1568	43
973	1570	41
974	1571	40
975	1573	38
976	1574	37
977	1576	35
978	1578	33
979	1579	32
980	1580	30
981	1582	29
982	1583	27
983	1585	25
984	1586	24
985	1588	22
986	1589	20
987	1591	19
988	1593	17
989	1594	16
990	1596	14
991	1597	12
992	1599	11
993	1601	9
994	1603	8
995	1605	6
996	1607	4
997	1609	3
998	1610	1
999	1612	0
